NP_ID	Noun	NP_Morph	NP_Gloss	ASP	CNJ	POS	PSS	PHI	SEM	MRK	DRV	DET	NPS	NUM	ANM	SYN	DEF	REF
MT00108	xătəł	ałəŋ xătəł	утро солнце	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT00109	pԑlək	ałəŋ xătəł pԑlək	утро солнце сторона	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00110	imԑ -ŋən ikԑ -ŋən	kǫńar imԑ -ŋən ikԑ -ŋən	бедный жена DU муж DU	i	sbj	s	0	n	n	nul	nul	nul	1	d	hum	sbj	0	1
MT00111	imԑ -ŋən	imԑ -ŋən	жена DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	0	1
MT00112	ikԑ -ŋən	ikԑ -ŋən	муж DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	0	1
MT00202	kǫrt -a	mɔj -əŋ -a kǫrt -a	гость ATTR DAT деревня DAT	i	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	1	1
MT00203	muw	muw	земля	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
MT00204	kut -ən	muw kut -ən	земля промежуток 2/3DU	i	sbj	s	1	2/3d	prt	nul	nul	nul	1	s	non	sbj	1	1
MT00205	ɔł	xǫłəm ɔł	три год	i	sbj	s	0	n	n	psp	nul	nul	0	s	non	pob	0	0
MT00301	xătəł	xătəł	солнце	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
MT00302	pԑlək	xătəł ɔməs -ti pԑlək	солнце сидеть IPFV.PART сторона	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00303	imԑ -ŋən ikԑ -ŋən	xătəł ɔməs -ti pԑlək imԑ -ŋən ikԑ -ŋən	солнце сидеть IPFV.PART сторона жена DU муж DU	i	sbj	s	0	n	n	nul	nul	nul	1	d	hum	sbj	1	1
MT00304	imԑ -ŋən	imԑ -ŋən	жена DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	1	1
MT00305	ikԑ -ŋən	ikԑ -ŋən	муж DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	1	1
MT00306	xătəł	xătəł	солнце	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
MT00307	pԑlək	xătəł ԑt -ti pԑlək	солнце выйти IPFV.PART сторона	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00308	imԑ -ŋən ikԑ -ŋən	xătəł ԑt -ti pԑlək imԑ -ŋən ikԑ -ŋən	солнце выйти IPFV.PART сторона жена DU муж DU	i	sbj	s	0	n	n	nul	nul	nul	1	d	hum	sbj	1	1
MT00309	imԑ -ŋən	imԑ -ŋən	жена DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	1	1
MT00310	ikԑ -ŋən	ikԑ -ŋən	муж DU	i	sbj	s	i	n	n	nul	nul	nul	1	d	hum	sbj	1	1
MT00311	ǫpət -ł -ən	ǫpət -ł -ən	волосы PL 2/3DU	p	sbj	s	1	2/3d	bod	nul	nul	nul	0	p	non	sbj	1	1
MT00312	kԑm	śi kԑm	этот состояние	p	sbj	s	0	n	n	nul	nul	si	0	s	non	sbj	1	1
MT00401	ɔł	i ɔł	один год	i	sbj	s	0	n	n	psp	nul	i	0	s	non	pob	0	0
MT00501	xătəł	xătəł	солнце	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
													1					
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
																		
MT00502	pԑlək	xătəł ɔməs -ti pԑlək	солнце сидеть IPFV.PART сторона	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00503	imԑ -ŋən ikԑ -ŋən	xătəł ɔməs -ti pԑlək imԑ -ŋən ikԑ -ŋən	сторона жена DU муж DU	p	sbj	s	0	n	n	psp	nul	nul	1	d	hum	pob	1	1
MT00504	imԑ -ŋən	imԑ -ŋən	жена DU	p	sbj	s	i	n	n	psp	nul	nul	1	d	hum	pob	1	1
MT00505	ikԑ -ŋən	ikԑ -ŋən	муж DU	p	sbj	s	i	n	n	psp	nul	nul	1	d	hum	pob	1	1
MT00506	wuśŋa	sɔrńe -ŋ wuśŋa	золото ATTR мизинец	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT00507	łuj	sɔrńe -ŋ wuśŋa łuj	золото ATTR мизинец палец	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT00508	ewi -je	sɔrńe -ŋ wuśŋa łuj xoras -əp i ewi -je	золото ATTR мизинец палец вид ATTR один девочка DIM	p	sbj	s	0	n	n	nul	dim	nul	1	s	hum	sbj	0	1
MT00509	sԑm -a	sԑm -a	глаз DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT00601	xătəł	xătəł	солнце	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
MT00602	pԑlək	xătəł ԑt -ti pԑlək	солнце выйти IPFV.PART сторона	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00603	imԑ -ŋən ikԑ -ŋən	xătəł ԑt -ti pԑlək imԑ -ŋən ikԑ -ŋən	солнце выйти IPFV.PART сторона жена DU муж DU	p	sbj	s	0	n	n	psp	nul	nul	1	d	hum	pob	1	1
MT00604	imԑ -ŋən	imԑ -ŋən	жена DU	p	sbj	s	i	n	n	psp	nul	nul	1	d	hum	pob	1	1
MT00605	ikԑ -ŋən	ikԑ -ŋən	муж DU	p	sbj	s	i	n	n	psp	nul	nul	1	d	hum	pob	1	1
MT00606	wuśŋa	sɔrńe -ŋ wuśŋa	золото ATTR мизинец	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT00607	łuj	sɔrńe -ŋ wuśŋa łuj	золото ATTR мизинец палец	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT00608	pox -ije	sɔrńe -ŋ wuśŋa łuj xoras -əp i pox -ije	золото ATTR мизинец палец вид ATTR один мальчик DIM	p	sbj	s	0	n	n	nul	dim	nul	1	s	hum	sbj	0	1
MT00609	sԑm -a	sԑm -a	глаз DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT00701	xătəł	xătəł	солнце	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	1	1
MT00702	pԑlək	xătəł ԑt -ti pԑlək	солнце выйти IPFV.PART сторона	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	1	1
MT00703	xǫ -j -əł	xătəł ԑt -ti pԑlək xǫ -j -əł	солнце выйти IPFV.PART сторона мужчина STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	nul	1	s	hum	sbj	1	1
MT00801	ewe -n	ewe -n	дочь 2SG	p	obj	s	1	2s	fam	nul	nul	nul	0	s	hum	obj	1	1
MT00901	xǫ -j -ŋən nԑŋ -ŋən	kǫńar xǫ -j -ŋən nԑŋ -ŋən	бедный мужчина STEM DU женщина DU	i	sbj	s	0	n	n	nul	nul	nul	0	d	hum	prd	0	0
MT00902	xǫ -j -ŋən	xǫ -j -ŋən	мужчина STEM DU	i	sbj	s	i	n	n	nul	nul	nul	0	d	hum	prd	0	0
MT00903	nԑŋ -ŋən	nԑŋ -ŋən	женщина DU	i	sbj	s	i	n	n	nul	nul	nul	0	d	hum	prd	0	0
MT00904	xǫ -j -ŋən nԑŋ -ŋən	kǫńar xǫ -j -ŋən nԑŋ -ŋən	бедный мужчина STEM DU женщина DU	i	sbj	s	0	n	n	nul	nul	nul	0	d	hum	prd	0	0
MT00905	xǫ -j -ŋən	xǫ -j -ŋən	мужчина STEM DU	i	sbj	s	i	n	n	nul	nul	nul	0	d	hum	prd	0	0
MT00906	nԑŋ -ŋən	nԑŋ -ŋən	женщина DU	i	sbj	s	i	n	n	nul	nul	nul	0	d	hum	prd	0	0
MT01001	kǫrt -ən	i kǫrt -ən	один деревня LOC	p	sbj	s	0	n	n	loc	nul	i	0	s	non	iob	0	1
MT01101	suw	suw	посох	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT01102	jux -ən	suw jux -ən	посох палка LOC	p	sbj	s	0	n	n	loc	nul	nul	1	s	non	iob	0	0
MT01103	kԑm -a	suw jux -ən jăx -ti kԑm -a	посох палка LOC сходить IPFV.PART состояние DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT01201	jiŋk -a	kăt muw -a jiŋk -a	два земля DAT вода DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT01202	muw -a	muw -a	земля DAT	p	sbj	s	i	n	n	dat	nul	nul	0	s	non	iob	0	0
MT01203	jiŋk -a	jiŋk -a	вода DAT	p	sbj	s	i	n	n	dat	nul	nul	0	s	non	iob	0	0
MT01204	tăxi -j -a	kăt tăxi -j -a	два место STEM DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
MT01205	kǫs -ən	kǫs -ən	сила 2/3DU	i	sbj	s	1	2/3d	oth	nul	nul	nul	0	s	non	sbj	0	0
MT01301	ałəŋ	ałəŋ	утро	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT01302	xătəł	ałəŋ xătəł	утро солнце	p	sbj	s	0	n	n	nul	nul	nul	1	s	non	gen	0	0
MT01303	pԑlək -ən	ałəŋ xătəł pԑlək -ən	утро солнце сторона LOC	p	sbj	s	0	n	n	loc	nul	nul	1	s	non	iob	1	1
MT01304	iki	ałəŋ xătəł pԑlək -ən wǫł -ti iki	утро солнце сторона LOC жить IPFV.PART мужчина	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
MT01401	pox -əł	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
MT01402	wǫnət	wǫnət	величина	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT01403	xǫ -j -a	wǫnət xǫ -j -a	величина мужчина STEM DAT	p	sbj	s	0	n	n	dat	nul	nul	1	s	hum	iob	0	0
MT01404	tut	tut	огонь	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT01405	jux	tut jux	огонь дерево	i	sbj	s	0	n	n	nul	nul	nul	1	s	non	obj	0	0
MT01406	jiŋk	jiŋk	вода	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	0
MT01501	aśe -ł -ən	aśe -ł -ən	отец 3SG LOC	i	sbj	s	1	3s	fam	loc	nul	nul	0	s	hum	iob	1	1
MT01801	jux -ən	jux -ən	дерево LOC	p	obj	s	0	n	n	loc	nul	nul	0	s	non	iob	0	0
MT02001	sԑm -a	sԑm -a	глаз DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT02002	imi -j -ən	imi -j -ən	жена STEM LOC	p	sbj	s	0	n	n	loc	nul	nul	0	s	hum	iob	1	1
MT02003	muw	śi muw	этот земля	p	sbj	s	0	n	n	psp	nul	si	0	s	non	pob	1	1
MT02101	poškan	poškan	ружье	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	0
MT02102	jǫxəł	jǫxəł	лук	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	0
MT02103	ńɔł	ńɔł	стрела	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	0
MT02201	pox -əł	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
MT02202	aśe -ł	aśe -ł	отец 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
MT02203	wej	wej	кисы	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
MT02301	ɔw	ɔw	дверь	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
MT02302	wɔt	wɔt	ветер	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT02303	ruw -ən	wɔt ruw -ən	ветер воздух LOC	p	sbj	s	0	n	n	loc	nul	nul	1	s	non	iob	0	0
MT02304	ɔw	ɔw	дверь	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
MT02305	ɔw	ɔw	дверь	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	1	1
MT02401	iki	pirəś iki	старый мужчина	p	sbj	s	0	n	n	nul	nul	nul	0	s	hum	sbj	1	1
MT02501	aśe -ł	aśe -ł	отец 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
MT02502	wej -əł	wej -əł	кисы 3SG	p	sbj	s	1	3s	own	nul	nul	nul	0	s	non	obj	1	1
MT02503	pox -əł	pox -əł	сын 3SG	p	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
MT02601	pԑlək -ł -a	pԑlək -ł -a	сторона 3SG DAT	p	sbj	s	1	3s	dis	dat	nul	nul	0	s	non	iob	1	1
MT02602	wǫnše -t	xołijewa wǫnše -t	все сосна PL	p	sbj	s	0	n	n	nul	nul	nul	0	p	non	sbj	1	1
MT02603	pǫšas	łapət nir -əp pǫšas	семь жердь ATTR загон	i	obj	s	0	n	n	nul	nul	nul	0	s	non	gen	0	0
MT02604	jǫš -ən	jǫš -ən	дорога LOC	i	obj	s	0	n	n	loc	nul	nul	1	s	non	iob	0	1
MT02605	jǫš	jǫš	дорога	i	sbj	s	0	n	n	nul	nul	nul	0	s	non	sbj	0	0
MT02606	niməł -ŋəł	niməł -ŋəł	охотничьи лыжи DU.POSS	i	sbj	s	1	3s	own	nul	nul	nul	0	dp	non	sbj	1	1
MT02701	pox -əł	pox -əł	сын 3SG	i	sbj	s	1	3s	fam	nul	nul	nul	0	s	hum	sbj	1	1
MT02801	xir -əł -ən	xăł -i xir -əł -ən	продукты в дорогу ADJ мешок PL LOC	p	sbj	s	0	n	n	loc	nul	nul	0	pl	non	iob	0	1
MT02802	ńań	xǫłəm aj ńań	три маленький хлеб	p	sbj	s	0	n	n	nul	nul	nul	0	s	non	obj	0	1
MT03001	ńań -əł	i ńań -əł	один хлеб 3SG	p	obj	s	1	3s	own	nul	nul	i	0	s	non	obj	0	1
MT03002	xir -əł	xăł -i xir -əł	продукты в дорогу ADJ мешок 3SG	p	obj	s	1	3s	own	psp	nul	nul	0	s	non	pob	1	1
MT03201	ńań -əł	kimət ńań -əł	второй хлеб 3SG	p	obj	s	1	3s	own	nul	nul	nul	0	s	non	obj	0	1
MT03202	xir -əł	xăł -i xir -əł	продукты в дорогу ADJ мешок 3SG	p	obj	s	1	3s	own	psp	nul	nul	0	s	non	pob	1	1
MT03301	ńań -ԑm	tăm ńań -ԑm	этот хлеб 1SG	p	obj	s	1	1s	own	nul	nul	nul	0	s	non	obj	1	1
MT03501	jux -a	jux -a	дерево DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	1
MT03601	ńań -əł	ńań -əł	хлеб 3SG	i	sbj	s	1	3s	own	nul	nul	nul	0	s	non	obj	1	1
MT03602	sawnԑ	sawnԑ	сорока	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	0	1
MT03603	sij -a	sij -a	шум DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT03801	xǫ -j -əł	in xǫ -j -əł	этот мужчина STEM 3SG	p	sbj	s	1	3s	dis	nul	nul	in	0	s	hum	sbj	1	1
MT03802	ma jǫxł -ԑm pa ńɔł -ԑm	ma jǫxł -ԑm pa ńɔł -ԑm	я лук 1SG и стрела 1SG	i	sbj	s	1	1s	own	nul	nul	nul	0	s	non	sbj	1	1
MT03803	jǫxł -ԑm	jǫxł -ԑm	лук 1SG	i	sbj	s	1	i	own	nul	nul	nul	0	s	non	sbj	1	1
MT03804	ńɔł -ԑm	ńɔł -ԑm	стрела 1SG	i	sbj	s	1	i	own	nul	nul	nul	0	s	non	sbj	1	1
MT03901	ńɔł -əł	ńɔł -əł	стрела 3SG	i	sbj	s	1	3s	own	nul	nul	nul	0	s	non	obj	1	1
MT03902	sawnԑ	sawnԑ	сорока	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
MT03903	sij -a	sij -a	шум DAT	p	sbj	s	0	n	n	dat	nul	nul	0	s	non	iob	0	0
MT04001	sawnԑ	sawnԑ	сорока	i	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
MT04201	sawnԑ	sawnԑ	сорока	p	sbj	s	0	n	n	nul	nul	nul	0	s	anm	sbj	1	1
